Estado|Fecha del Vuelo|Hora de Salida|Nueva Hora de Salida|Destino|Vuelo|Gate
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|NUEVA YORK|LA 2468|15
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|MEXICO|LA 2472|26
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|SANTIAGO|LA 529|21
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|MEXICO|AM 019|23
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|MIAMI|LA 2480|20
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|SAO PAULO|LA 8005|28
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|15/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|13
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|QUITO|LA 2486|B3
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|BRASILIA|LA 2402|B1
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|CORDOBA|LA 2364|B5
EMBARQUE FINALIZADO|15/10/2024|00:35|00:35|SAO PAULO|H2 5564|30
EMBARQUE FINALIZADO|15/10/2024|00:40|00:40|SANTA CRUZ|OB 741|33
EMBARQUE FINALIZADO|15/10/2024|00:50|00:50|SANTIAGO|LA 523|B8
EMBARQUE FINALIZADO|15/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|17
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|LOS ANGELES|LA 2478|22
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|PANAMA|CM 338|27
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|ASUNCION|LA 1321|14
EMBARQUE FINALIZADO|15/10/2024|01:00|00:45|MIAMI|H8 5590|10
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|NUEVA YORK|LA 2468|15
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|MEXICO|LA 2472|26
EMBARQUE FINALIZADO|15/10/2024|00:05|00:05|SANTIAGO|LA 529|21
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|MEXICO|AM 019|23
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|MIAMI|LA 2480|20
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|SAO PAULO|LA 8005|28
EMBARQUE FINALIZADO|15/10/2024|00:15|00:15|SANTIAGO|H2 805|16
EMBARQUE FINALIZADO|15/10/2024|00:25|00:25|BUENOS AIRES|H2 5571|13
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|QUITO|LA 2486|B3
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|BRASILIA|LA 2402|B1
EMBARQUE FINALIZADO|15/10/2024|00:30|00:30|CORDOBA|LA 2364|B5
EMBARQUE FINALIZADO|15/10/2024|00:35|00:35|SAO PAULO|H2 5564|30
EMBARQUE FINALIZADO|15/10/2024|00:40|00:40|SANTA CRUZ|OB 741|33
EMBARQUE FINALIZADO|15/10/2024|00:50|00:50|SANTIAGO|LA 523|B8
EMBARQUE FINALIZADO|15/10/2024|00:55|00:55|SANTA CRUZ|LA 2406|17
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|LOS ANGELES|LA 2478|22
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|PANAMA|CM 338|27
EMBARQUE FINALIZADO|15/10/2024|01:00|01:00|ASUNCION|LA 1321|14
EMBARQUE FINALIZADO|15/10/2024|01:00|00:45|MIAMI|H8 5590|10
EMBARQUE FINALIZADO|15/10/2024|01:15|00:45|LA PAZ|LA 2400|24
EMBARQUE FINALIZADO|15/10/2024|04:30|04:30|EL SALVADOR|AV 428|26
EMBARQUE FINALIZADO|15/10/2024|06:25|06:25|MEXICO|Y4 3919|16
EMBARQUE FINALIZADO|15/10/2024|06:30|06:30|MIAMI|AA 1558|25
EMBARQUE FINALIZADO|15/10/2024|06:45|06:45|BOGOTA|AV 102|26
EMBARQUE FINALIZADO|15/10/2024|06:45|06:45|PANAMA|CM 436|23
EMBARQUE FINALIZADO|15/10/2024|07:00|07:00|PANAMA|CM 492|24
EMBARQUE FINALIZADO|15/10/2024|07:15|07:15|SANTIAGO|LA 643|18
EMBARQUE FINALIZADO|15/10/2024|08:15|08:15|MIAMI|LA 2698|22
